,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,MA_50,MA_200,MA_21,slowk,slowd,k,d,j,SMMA_21,upper,middle,lower,Bollinger_Rank,direction_MA,kdj_cross,buy_signal,sell_signal,usdt,btc,com,profit,profit_percent,cum_profit,cum_profit_percent
0,1609998420000,2021-01-07 05:47:00,BTC/USDT,37424.7,37519.0,37375.0,37497.26,258.673557,9683244.13980754,2216,37419.15919999998,37278.082899999994,37520.824761904754,35.65663695805349,25.01864084287463,36.91496068276884,37.35009584945161,36.0446903494033,37460.56787973975,37730.46497075969,37519.831,37309.197029240306,0.44642127307720225,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1609998480000,2021-01-07 05:48:00,BTC/USDT,37493.76,37561.58,37434.03,37467.58,194.630037,7297145.32878303,2500,37419.79299999998,37282.2947,37517.34285714285,43.076821870169795,33.79402635426649,39.39792317168641,38.032704956863206,42.128359601332804,37460.90179022833,37729.85301087717,37518.019,37306.184989122834,0.3809468796083789,1,1,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1609998540000,2021-01-07 05:49:00,BTC/USDT,37467.57,37498.06,37406.07,37489.94,69.0354,2585135.78493802,1569,37420.57279999999,37286.4288,37516.6819047619,50.081879386474505,42.93844607156589,44.22651142887863,40.097307114201676,52.48492005823253,37462.284562122215,37730.05430678865,37518.6855,37307.31669321135,0.432001555866423,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1609998600000,2021-01-07 05:50:00,BTC/USDT,37489.94,37500.99,37416.74,37436.52,162.792354,6100466.07157995,1468,37419.265599999984,37290.7101,37514.77285714285,50.146023512437445,47.76824158969387,46.88118576742837,42.35859999861057,55.92635730506396,37461.05767821163,37727.84843273976,37513.590000000004,37299.33156726025,0.3201471022295347,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1609998660000,2021-01-07 05:51:00,BTC/USDT,37436.52,37468.96,37390.0,37393.95,186.475025,6979208.12280661,1480,37418.707399999985,37294.2834,37507.89285714285,47.330192283046564,49.18603172731946,43.22624199873521,42.64781399865212,44.38309799890139,37457.86207448727,37729.17014862549,37508.3595,37287.54885137451,0.24093301044994572,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1609998720000,2021-01-07 05:52:00,BTC/USDT,37393.95,37433.12,37382.5,37386.26,79.853593,2987168.54531582,1084,37420.49899999998,37297.479349999994,37502.54523809523,40.361138721104254,45.945784838862714,39.80967041830218,41.701766138535476,36.025478977835604,37454.452451892634,37730.3100182145,37502.8495,37275.388981785494,0.24371486331960465,1,-1,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1609998780000,2021-01-07 05:53:00,BTC/USDT,37386.26,37450.0,37382.23,37438.5,142.929569,5348513.70688768,1448,37423.124199999984,37301.299499999994,37499.785238095224,40.61345158906092,42.76826086440388,44.1889379616674,42.53082341291278,47.50516705917664,37453.69281132632,37729.75708758232,37500.61,37271.46291241768,0.36447569407207187,1,1,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1609998840000,2021-01-07 05:54:00,BTC/USDT,37434.89,37447.96,37368.5,37400.0,67.590558,2528965.70743829,1235,37425.56439999999,37304.8256,37495.819047619036,34.07949378332017,38.351361364495084,34.89745232248715,39.9863663827709,24.719624201919643,37451.13601078697,37726.665901444656,37493.86,37261.054098555345,0.29841576305076223,1,-1,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1609998900000,2021-01-07 05:55:00,BTC/USDT,37403.03,37404.76,37350.0,37350.48,45.458004,1698735.42301041,1267,37427.378799999984,37308.1783,37487.03238095237,23.162939545162782,32.61862830584793,23.340589729312757,34.43777416495152,1.1462208580352353,37446.34286741616,37706.56264701154,37478.566,37250.56935298846,0.21910551826336097,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1609998960000,2021-01-07 05:56:00,BTC/USDT,37350.48,37350.49,37264.7,37318.13,247.668041,9238727.49639599,1939,37429.20519999998,37311.043999999994,37470.92619047618,11.512838720353201,22.91842401627868,21.559450010864868,30.144999446922636,4.388351138749336,37440.23749277729,37689.77969516659,37462.9145,37236.04930483341,0.18090191205027015,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1609999020000,2021-01-07 05:57:00,BTC/USDT,37318.96,37396.78,37318.96,37366.35,63.995473,2391066.22587893,1302,37433.67959999999,37313.625799999994,37458.31619047617,20.414402158054646,18.36339347452351,28.712690459653572,29.66756311783295,26.802945143294814,37436.719040740274,37657.68740121801,37448.0185,37238.349598781984,0.30524412651192195,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1609999080000,2021-01-07 05:58:00,BTC/USDT,37366.36,37378.93,37307.02,37332.62,55.531658,2073410.19345347,1164,37435.69919999999,37315.99294999999,37442.523333333316,29.920227171306113,20.615822683237955,28.723240167341846,29.352788801002585,27.46414290002037,37431.76194356217,37619.580565294,37431.2815,37242.98243470599,0.23801914564486354,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1609999140000,2021-01-07 05:59:00,BTC/USDT,37328.49,37364.94,37328.48,37347.2,60.654208,2265074.91497144,1136,37438.43879999999,37318.60059999999,37427.2776190476,37.384403447556956,29.23967759230587,32.61205991246843,30.439212504824535,36.95775472775623,37427.73518434492,37576.10261055166,37416.002,37255.90138944834,0.28512886439679114,1,1,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1609999200000,2021-01-07 06:00:00,BTC/USDT,37347.2,37399.0,37341.01,37381.89,33.307365,1244972.06470343,1175,37440.92259999999,37321.214949999994,37414.3776190476,44.12580936139963,37.14347999342087,42.8225029745653,34.56697599473812,59.33355693421966,37425.55208032849,37517.93287386046,37402.4715,37287.01012613954,0.4108727909955679,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1609999260000,2021-01-07 06:01:00,BTC/USDT,37383.49,37439.75,37375.0,37433.78,33.5777,1256270.51400616,1250,37445.49779999999,37324.24019999999,37403.96238095236,64.95990519756116,48.82337266883922,58.96387768011119,42.69927655652915,91.49307992727528,37425.94388602713,37499.26245827147,37397.897,37296.531541728524,0.6769981639302661,1,0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1609999320000,2021-01-07 06:02:00,BTC/USDT,37434.26,37439.74,37392.33,37412.78,40.060454,1499077.34970407,1173,37448.80039999999,37327.27619999999,37398.605714285695,78.43108219100806,62.505598916656254,66.24366191442824,50.54740500916218,97.63617572496038,37425.317034311556,37500.494466877615,37398.967,37297.43953312238,0.568025926504461,1,0,1.0,0.0,0.0,0.026713497208172406,0.0,0.0,0.0,0.0,0.0
16,1609999380000,2021-01-07 06:03:00,BTC/USDT,37412.79,37439.74,37388.07,37391.6,35.479269,1327261.68413146,1305,37450.308999999994,37330.11329999999,37398.61619047617,81.51447691301543,74.96848810052819,68.3269656978792,56.47392523873452,92.03304661616858,37423.7114612491,37500.52061438504,37400.506,37300.491385614965,0.4554765068347093,1,0,0.0,0.0,0.0,0.026713497208172406,0.0,0.0,0.0,0.0,0.0
17,1609999440000,2021-01-07 06:04:00,BTC/USDT,37391.61,37392.29,37262.3,37270.67,99.886831,3728643.61407981,1772,37448.88339999999,37332.29204999999,37394.32333333332,52.67120842924644,70.87225584442328,47.12358434521814,53.35714494089573,34.65646315386296,37416.42377261818,37510.39952170224,37396.4395,37282.47947829776,-0.05181412797823389,0,-1,0.0,1.0,998.8606693440714,0.0,0.0,-1.1393306559285747,-0.11393306559285747,-1.1393306559285747,-0.11393306559285747
18,1609999500000,2021-01-07 06:05:00,BTC/USDT,37271.89,37330.91,37248.63,37305.27,58.682592,2187489.61013975,1503,37448.35999999999,37334.673249999985,37392.09809523808,35.61540859875423,56.600364647005335,41.294333194007336,49.336207691932934,25.21058419815614,37411.13073582684,37513.31360910288,37392.273499999996,37271.23339089711,0.14060053876006345,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
19,1609999560000,2021-01-07 06:06:00,BTC/USDT,37305.27,37310.5,37227.28,37232.52,100.080602,3729205.0444698,1520,37447.7956,37336.34794999999,37384.66619047618,12.272961019381063,33.51985934912721,28.351632304892096,42.34134922958599,0.37219845550431785,37402.625462692224,37521.997807864565,37382.665,37243.332192135436,-0.038799878869696304,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
20,1609999620000,2021-01-07 06:07:00,BTC/USDT,37232.52,37348.55,37232.51,37243.56,79.285791,2956247.30037915,1729,37445.9434,37338.10344999998,37376.04095238094,13.25477320646813,20.381047608201108,21.455174270313805,35.37929090982859,-6.393059008715767,37395.05091684973,37511.56111039649,37369.979999999996,37228.3988896035,0.05354213692080303,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
21,1609999680000,2021-01-07 06:08:00,BTC/USDT,37245.72,37259.2,37184.03,37220.0,116.256251,4326629.16527735,2149,37442.4858,37340.24404999999,37362.83809523809,8.064884949003973,11.197539724951023,18.99217155327362,29.916917790976935,-2.857320922133006,37386.7151589045,37506.363048768275,37357.601,37208.83895123173,0.03751309174847326,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
22,1609999740000,2021-01-07 06:09:00,BTC/USDT,37218.48,37241.94,37169.5,37194.21,66.073079,2458235.51590947,1774,37437.5614,37342.38504999998,37349.82047619047,10.290603358093842,10.536753837855281,15.70924295349282,25.18102617848223,-3.234323496485999,37377.548246575716,37494.94214397751,37342.81449999999,37190.686856022476,0.011579565309129842,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
23,1609999800000,2021-01-07 06:10:00,BTC/USDT,37194.2,37280.0,37192.07,37241.59,53.716548,2000430.50663485,1518,37433.553,37344.737449999986,37337.994285714274,16.628613205783523,11.661367170960412,19.364924550403966,23.242325635789474,11.610122379632948,37371.074044357825,37484.89490193645,37333.068,37181.24109806355,0.1987424533028701,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
24,1609999860000,2021-01-07 06:11:00,BTC/USDT,37241.59,37285.72,37225.46,37275.51,35.697116,1330283.88015644,1710,37430.5464,37347.40954999998,37330.32714285713,25.01592234821186,17.311712970696373,25.98598088242873,24.156877384669226,29.644187877947736,37366.52337557888,37478.21175248804,37327.146,37176.08024751196,0.32909428791913753,0,1,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
25,1609999920000,2021-01-07 06:12:00,BTC/USDT,37275.51,37309.37,37250.64,37270.89,40.534019,1511205.56497243,1365,37427.2872,37349.544549999984,37324.46714285713,37.13786840785182,26.260801320615702,32.49372856590286,26.93582777841377,43.60953014088104,37361.96940531322,37471.74816705499,37321.377499999995,37171.006832945,0.3321231760529099,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
26,1609999980000,2021-01-07 06:13:00,BTC/USDT,37270.89,37270.89,37192.11,37199.69,65.920584,2453517.29396156,1734,37423.082599999994,37350.937799999985,37315.58285714284,33.86617647709965,32.00665574438775,27.282889694591827,27.051515083806454,27.74563891616257,37354.24181458401,37458.56958673173,37309.437,37160.30441326826,0.13204889553276444,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
27,1610000040000,2021-01-07 06:14:00,BTC/USDT,37203.83,37283.97,37203.82,37237.99,44.892365,1671506.55128422,1463,37419.1044,37352.466149999986,37306.03476190475,33.54077361105246,34.84827283200128,30.939221445840115,28.34741720448434,36.12282992855166,37348.70601388953,37447.32364064144,37301.3365,37155.34935935855,0.2830408222201472,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
28,1610000100000,2021-01-07 06:15:00,BTC/USDT,37237.99,37300.0,37227.51,37299.99,65.365501,2436629.52776657,1632,37415.635800000004,37354.12354999999,37301.27238095237,42.66406031834575,36.69033680216592,44.91917564880374,33.87133668592414,67.01485357456293,37346.386203704315,37442.95551935714,37298.812,37154.66848064285,0.5040862052114918,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
29,1610000160000,2021-01-07 06:16:00,BTC/USDT,37300.0,37331.31,37234.05,37252.92,41.875915,1561503.23173444,1387,37410.5942,37355.45639999999,37296.626666666656,54.228420358004854,43.47775142913432,47.13088112285152,38.2911848315666,64.81027370542135,37341.935432099344,37440.80098095217,37295.5515,37150.302019047835,0.3532473241193803,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
30,1610000220000,2021-01-07 06:17:00,BTC/USDT,37250.69,37295.21,37218.91,37265.2,77.769258,2897834.07916008,1637,37405.0842,37357.02334999999,37294.10619047618,61.19227198750753,52.694917554619344,51.135067360849256,42.572479007994154,68.26024406655945,37338.281363904134,37432.36861141529,37290.494,37148.61938858471,0.41085790562639074,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
31,1610000280000,2021-01-07 06:18:00,BTC/USDT,37263.34,37265.64,37205.47,37230.18,41.441256,1542649.64152018,1219,37399.611399999994,37358.50999999999,37287.621904761894,46.0225801753352,53.81442417361583,43.213381113304166,42.78611304309749,44.067917253717525,37333.13367990869,37428.23623921452,37285.372,37142.507760785484,0.30683759524618126,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
32,1610000340000,2021-01-07 06:19:00,BTC/USDT,37229.99,37307.4,37200.0,37204.66,47.445691,1767717.34345054,1691,37394.172399999996,37359.72144999999,37281.528571428564,31.843084350920652,46.35264550458777,31.814188941437255,39.128805009210744,17.18495680589028,37327.01588562732,37422.33871899099,37278.244999999995,37134.151281009,0.24466270800953596,0,-1,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
33,1610000400000,2021-01-07 06:20:00,BTC/USDT,37204.66,37211.07,37057.77,37095.3,187.511928,6960295.30497113,3732,37385.309799999995,37360.12484999999,37269.53333333333,16.701975758673438,31.522546761643074,25.7828306476592,34.680146888693564,7.988198165590475,37315.98179583554,37421.02367252025,37263.915499999996,37106.80732747974,-0.03662230708671821,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
34,1610000460000,2021-01-07 06:21:00,BTC/USDT,37095.3,37124.93,37002.08,37030.36,105.622536,3914084.70649954,3073,37375.945799999994,37360.47799999999,37252.793809523806,10.44188611781986,19.662315409137964,20.051800330323882,29.804031369237006,0.5473382524976316,37302.38075793861,37412.20563610536,37243.7445,37075.28336389464,-0.13333450353362905,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
35,1610000520000,2021-01-07 06:22:00,BTC/USDT,37038.5,37109.67,37010.0,37040.62,82.461386,3054663.98292532,1951,37366.829,37360.926649999994,37234.0719047619,11.338651957605862,12.827504611366365,17.269900925903066,25.625987888125692,0.5577270014578133,37289.915959941536,37397.159994267524,37225.1365,37053.11300573248,-0.0363119171182687,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
36,1610000580000,2021-01-07 06:23:00,BTC/USDT,37040.59,37119.31,37000.0,37000.0,162.156784,6003368.0283233,2733,37357.163199999995,37360.663649999995,37214.41571428571,6.765280604238165,9.515272893221274,11.513267283935377,20.92174768672892,-7.303693521651709,37276.110438039555,37386.70558722115,37205.5565,37024.40741277885,-0.06736830185915038,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
37,1610000640000,2021-01-07 06:24:00,BTC/USDT,37000.01,37033.06,36926.01,36929.28,130.42895,4823339.40325391,2780,37345.0488,37360.24764999999,37192.40047619047,4.170970629200269,7.424967730348077,7.944448112803438,16.595981162087092,-9.358617985763871,37259.594702894814,37404.73870082446,37188.487,36972.23529917554,-0.0993178296674048,0,0,0.0,0.0,998.8606693440714,0.0,0.0,0.0,0.0,0.0,0.0
