unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1638921600,2021-12-08 00:00:00,BTC/USDT,50607.07474786,50646.44110539,50370.73643937,50378.29389135,178261.22881182,3.53080749
1638919800,2021-12-07 23:30:00,BTC/USDT,50389.47572713,50705.6,50389.47572713,50594.20331506,156185.99119355,3.08831949
1638918000,2021-12-07 23:00:00,BTC/USDT,50255.5144257,50565.80545432,50143.69420453,50386.73531787,166232.13777513,3.2996293
1638916200,2021-12-07 22:30:00,BTC/USDT,50321.55593587,50599.4862,50062.70911793,50181.57288368,120319.38259564,2.39292928
1638914400,2021-12-07 22:00:00,BTC/USDT,50474.94397114,50544.35417006,50040,50300.69816935,331069.94302293,6.59393357
1638912600,2021-12-07 21:30:00,BTC/USDT,50705.53371984,50853.07648386,50420.63920314,50485.0666118,72236.49899306,1.42760572
1638910800,2021-12-07 21:00:00,BTC/USDT,50405.46375637,50795.62862353,50372.98074177,50726.43206034,258343.62567081,5.10839568
1638909000,2021-12-07 20:30:00,BTC/USDT,50485.52262083,50566.4914569,50174.85532089,50410.50413679,585924.16289053,11.6426053
1638907200,2021-12-07 20:00:00,BTC/USDT,50880.38198495,51000,50213.88186822,50462.87768762,506501.63448098,10.00856451
1638905400,2021-12-07 19:30:00,BTC/USDT,51048.27553212,51144.42344662,50830.36216495,50904.28695427,125660.34195059,2.46718224
1638903600,2021-12-07 19:00:00,BTC/USDT,50935.09937124,51186.1592106,50698.392,51066.5460338,177195.32243455,3.4833248
1638901800,2021-12-07 18:30:00,BTC/USDT,51081.23808588,51119.60509968,50919.19440789,50924.57460542,80244.23285739,1.57218876
1638900000,2021-12-07 18:00:00,BTC/USDT,51008,51159,50916.6481142,51088.90024241,286227.63736514,5.60724489
1638898200,2021-12-07 17:30:00,BTC/USDT,51085.24377909,51125.10538971,50862.3836,51008.00000001,127498.16184085,2.50075384
1638896400,2021-12-07 17:00:00,BTC/USDT,51341.0099753,51372.60490622,51039.25531291,51039.25531291,180010.95697806,3.51552612
1638894600,2021-12-07 16:30:00,BTC/USDT,51580.23275116,51580.23275116,51113.4212653,51341.0099753,326953.25904986,6.37460158
1638892800,2021-12-07 16:00:00,BTC/USDT,51744.46465404,51859.55357903,51540.00000001,51588.81736186,290503.6384145,5.6203308
1638891000,2021-12-07 15:30:00,BTC/USDT,51426.24326358,51933.32985137,51390.73903321,51756.88431311,469695.7704001,9.07818151
1638889200,2021-12-07 15:00:00,BTC/USDT,51447.64809952,51690.09413981,51426.24326358,51426.24326359,593783.03806088,11.50988308
1638887400,2021-12-07 14:30:00,BTC/USDT,50961.85536861,51478.478173,50932.65017825,51466.61726849,362471.3850823,7.06973366
1638885600,2021-12-07 14:00:00,BTC/USDT,50900.10705992,51032.23900121,50838.62880773,50934.73357148,152803.34315909,3.00307261
1638883800,2021-12-07 13:30:00,BTC/USDT,50869,51039.2800074,50827.54159199,50954.31963656,156427.77805443,3.07384386
1638882000,2021-12-07 13:00:00,BTC/USDT,50911,51069.17401137,50820.20228104,50890.87122107,207602.8445296,4.07339789
1638880200,2021-12-07 12:30:00,BTC/USDT,50958.46574664,51036.94836976,50629.645844,50913.54573062,1052437.77521268,20.7149595
1638878400,2021-12-07 12:00:00,BTC/USDT,51475.65681916,51552.89999,50860.88101442,50939.52856411,628187.96342354,12.27914267
1638876600,2021-12-07 11:30:00,BTC/USDT,51371.40062773,51488.15278678,51257,51449.91852581,167956.28813308,3.26872307
1638874800,2021-12-07 11:00:00,BTC/USDT,51305.84159449,51458.78276116,51290.84001092,51397.0890217,205216.10023764,3.99455608
1638873000,2021-12-07 10:30:00,BTC/USDT,51171.25201947,51385.25144593,51171.25201947,51305.56474527,142885.72998594,2.78752816
